semester,cgpa,attendance,average_marks,highest_marks,lowest_marks,target
3,5.78,86.08,71.23,73.13,61.21,Moderate
5,7.71,81.87,78.72,87.17,68.11,Moderate
8,4.58,66.97,38.81,43.84,28.67,High
4,7.96,95.68,81.42,90.52,76.02,Low
6,6.64,73.99,67.6,76.84,62.31,High
3,6.79,82.18,61.5,61.9,50.75,Moderate
8,8.41,97.06,92.42,100.0,77.63,Low
7,7.43,87.92,77.67,83.05,66.87,Moderate
3,7.78,81.01,63.77,67.07,54.08,Moderate
4,5.29,55.08,50.16,58.53,43.13,High
2,7.32,72.27,68.34,77.97,61.33,Moderate
5,6.09,66.81,57.81,76.64,47.59,High
2,8.98,92.21,88.78,92.17,80.93,Low
4,9.86,72.2,82.96,91.55,72.75,Low
5,7.12,60.17,75.85,81.34,71.63,High
8,9.88,95.32,89.94,97.81,77.86,Low
1,7.5,100.0,68.52,78.81,66.75,Low
3,8.03,100.0,79.58,86.5,75.72,Low
4,8.56,82.09,81.58,86.71,71.14,Low
8,6.68,85.2,62.53,76.2,51.65,High
7,9.08,99.48,94.93,100.0,79.68,Low
4,6.74,88.3,82.02,88.16,73.28,Moderate
7,7.2,75.2,82.38,92.87,75.45,Moderate
7,7.13,85.68,78.87,92.09,64.17,Moderate
5,6.02,73.23,48.88,66.96,37.75,High
2,6.36,100.0,74.69,81.59,64.83,Low
7,8.63,75.88,87.96,96.36,79.66,Low
7,4.33,61.1,50.6,56.61,42.81,High
1,6.55,77.25,65.91,70.71,54.7,High
2,10.0,95.17,83.67,94.81,68.73,Low
1,8.02,70.33,81.73,88.5,68.7,Moderate
5,9.61,100.0,82.72,90.61,74.6,Low
4,7.69,72.42,68.71,75.48,54.44,Moderate
3,5.92,76.27,69.34,73.22,58.69,High
2,10.0,100.0,83.17,89.36,73.7,Low
1,6.33,73.05,76.93,89.28,69.5,High
7,7.58,77.92,76.97,82.59,75.53,Moderate
4,6.53,86.6,68.03,81.0,61.46,Moderate
3,6.21,69.47,67.65,79.97,54.03,High
4,8.61,98.81,96.55,99.98,82.29,Low
1,6.74,66.96,69.36,75.31,59.55,High
1,9.2,93.11,84.74,90.68,79.41,Low
7,6.05,83.14,53.83,59.53,46.83,High
3,8.18,95.15,91.65,98.23,78.79,Low
5,7.77,98.0,93.95,98.64,84.95,Low
6,8.05,67.14,92.24,97.7,88.61,Low
8,7.62,97.25,80.46,86.41,71.33,Low
6,5.42,62.83,48.95,55.76,38.71,High
4,8.58,79.37,85.87,93.06,75.26,Low
8,8.02,83.26,79.93,89.47,69.93,Low
8,7.0,80.17,66.44,73.74,60.36,Moderate
7,7.96,90.59,79.13,83.71,67.86,Moderate
5,8.55,73.1,79.72,92.95,64.54,Moderate
5,8.55,71.94,82.2,97.92,75.03,Moderate
5,7.37,91.0,70.72,78.34,61.48,Moderate
1,6.88,87.7,79.36,89.22,75.99,Moderate
2,8.43,100.0,82.05,88.65,77.72,Low
4,9.22,93.57,95.89,100.0,90.42,Low
4,7.96,100.0,82.37,90.24,72.9,Low
5,8.17,92.98,96.93,98.06,88.64,Low
5,8.6,82.96,78.72,87.28,68.58,Low
2,7.48,80.25,74.5,89.09,62.89,Moderate
2,7.76,50.35,60.65,68.98,49.83,High
6,8.19,100.0,84.42,88.9,71.62,Low
3,7.13,73.68,66.19,76.55,56.8,High
2,10.0,100.0,98.0,100.0,86.08,Low
6,7.22,88.15,71.14,86.53,66.96,Moderate
2,8.13,85.61,82.12,91.32,77.86,Low
6,8.8,93.0,81.45,88.96,71.31,Low
6,7.35,76.45,57.31,66.57,49.79,Moderate
4,7.01,77.0,76.62,86.37,65.75,Moderate
4,7.99,77.27,83.39,90.37,74.59,Low
7,10.0,89.83,92.55,99.11,84.71,Low
3,9.02,89.81,77.9,87.74,72.86,Low
3,6.12,68.79,72.45,75.66,66.45,High
6,7.98,100.0,93.79,93.96,80.58,Low
4,8.96,89.11,90.19,100.0,86.7,Low
1,7.94,68.93,80.77,89.87,70.36,Moderate
2,5.85,92.09,67.06,75.67,59.73,Moderate
3,5.87,85.61,68.65,78.37,55.55,Moderate
8,8.53,84.57,80.65,85.75,77.29,Low
5,7.96,86.67,77.11,80.55,66.44,Low
3,8.36,72.39,81.28,89.52,75.39,Moderate
1,8.69,100.0,81.52,89.7,72.16,Low
5,7.42,79.03,70.08,72.65,63.67,Moderate
5,6.54,50.0,55.39,71.36,48.46,High
3,7.54,73.08,68.86,73.42,63.62,Moderate
5,5.85,74.7,72.75,73.04,65.39,High
1,9.45,100.0,98.0,100.0,80.66,Low
2,7.86,95.27,88.2,90.71,78.65,Low
5,7.47,76.52,68.76,70.75,54.66,Moderate
5,7.56,91.07,67.38,71.14,57.06,Moderate
6,7.58,87.04,80.1,92.13,67.19,Low
4,6.25,74.72,60.96,64.92,52.77,High
1,7.95,93.71,87.3,97.08,82.87,Low
1,7.4,78.75,69.22,79.03,59.15,Moderate
2,5.57,82.58,67.77,78.62,59.09,High
7,6.66,82.57,73.51,83.47,66.3,Moderate
6,7.65,87.58,88.32,93.9,80.16,Low
6,9.3,81.48,81.15,84.32,70.88,Low
3,9.89,100.0,98.0,100.0,89.13,Low
6,9.61,84.78,85.29,95.35,77.32,Low
6,8.04,100.0,82.4,95.44,78.32,Low
2,7.65,79.13,74.89,82.26,67.08,Moderate
3,6.9,100.0,84.43,92.53,76.22,Low
8,7.17,80.71,78.55,83.23,67.4,Moderate
7,9.54,100.0,97.81,99.3,87.4,Low
3,6.97,96.31,69.33,73.57,62.48,Moderate
2,10.0,86.38,98.0,100.0,90.14,Low
4,6.61,74.37,59.83,61.31,50.09,High
3,9.34,75.36,85.67,88.39,77.03,Low
1,6.05,95.19,66.45,76.09,63.28,Moderate
4,6.43,89.5,75.32,80.44,71.23,Moderate
2,8.78,82.59,82.43,90.49,71.1,Low
8,6.73,68.93,67.9,70.53,60.23,Moderate
4,7.33,91.43,71.32,73.07,57.45,Moderate
6,8.6,87.7,89.02,100.0,81.59,Low
7,9.11,87.24,77.37,85.37,63.28,Low
5,7.47,56.04,77.89,86.19,75.61,Moderate
7,9.32,97.55,89.26,96.56,83.07,Low
5,9.44,100.0,98.0,100.0,86.61,Low
4,5.99,74.64,73.68,80.49,67.18,High
8,8.52,67.04,69.98,78.45,59.59,Moderate
6,9.3,75.41,79.77,85.55,70.68,Low
2,7.83,87.98,76.7,82.35,67.14,Moderate
7,8.89,82.85,88.33,88.54,80.6,Low
6,8.59,85.98,87.77,95.48,78.2,Low
3,7.44,82.62,82.77,92.12,71.14,Low
7,6.29,66.57,66.23,72.52,65.59,High
4,9.88,79.41,98.0,100.0,89.7,Low
1,6.99,90.01,75.09,85.45,65.02,Moderate
4,9.25,100.0,87.99,95.23,78.57,Low
8,7.37,90.45,69.13,77.22,64.63,Moderate
4,8.58,89.04,74.86,85.03,71.47,Low
1,6.61,69.18,56.22,65.91,42.73,High
2,7.04,79.66,71.34,83.22,62.89,Moderate
2,6.92,75.06,73.46,75.23,63.79,Moderate
3,9.3,76.63,78.63,84.62,78.09,Low
6,5.95,83.35,63.06,79.36,50.8,High
4,9.43,89.48,84.5,91.45,77.52,Low
1,7.76,70.17,70.73,72.75,61.48,Moderate
5,6.69,96.45,71.71,83.33,65.91,Moderate
5,8.28,83.76,76.29,86.12,63.39,Low
5,8.15,97.14,68.68,77.83,62.01,Low
5,8.27,72.31,91.38,97.5,81.38,Low
5,7.24,76.89,70.74,79.88,69.6,Moderate
8,8.53,69.43,87.54,99.55,79.44,Low
3,6.59,75.81,65.8,73.14,57.73,Moderate
6,7.66,83.5,70.22,71.0,64.64,Moderate
3,4.3,78.03,52.99,57.37,47.91,High
2,7.37,92.31,88.71,99.17,78.84,Low
2,6.59,92.15,78.54,93.71,76.3,Moderate
7,9.16,64.44,87.58,91.35,80.94,Low
4,5.36,91.43,74.71,85.12,66.82,Moderate
5,7.93,66.83,76.74,89.42,66.89,Moderate
3,8.36,77.57,70.03,79.06,64.7,Moderate
4,7.6,77.11,88.07,91.13,77.51,Low
2,6.73,81.73,67.61,70.08,57.84,Moderate
4,8.69,80.92,98.0,100.0,87.05,Low
3,5.78,82.55,55.37,64.2,47.24,High
4,7.06,70.73,71.24,76.56,56.95,Moderate
3,7.36,65.0,72.57,76.4,63.0,Moderate
7,9.18,100.0,81.67,88.22,78.4,Low
6,8.66,77.78,76.32,84.22,69.11,Low
8,10.0,88.56,98.0,100.0,91.78,Low
7,8.22,76.85,67.82,73.8,60.8,Moderate
4,7.81,76.29,81.9,91.51,75.73,Moderate
4,9.07,97.63,88.62,100.0,83.61,Low
3,7.47,100.0,91.1,98.06,83.06,Low
8,8.94,100.0,89.13,96.42,81.63,Low
4,7.92,77.23,75.08,75.71,64.29,Moderate
7,6.1,100.0,73.65,78.25,64.48,Moderate
8,8.79,94.19,98.0,100.0,86.87,Low
6,9.04,62.39,89.34,93.28,81.95,Moderate
7,7.47,96.88,74.19,92.28,65.62,Moderate
5,10.0,97.73,95.21,100.0,87.59,Low
1,5.4,66.91,58.18,63.78,52.47,High
7,6.43,78.03,57.49,68.48,47.9,High
8,5.78,70.5,61.83,67.12,56.94,High
2,7.81,68.71,69.58,72.3,57.0,Moderate
8,7.69,96.2,69.71,81.54,58.11,Moderate
3,8.31,98.12,83.62,94.83,79.01,Low
4,7.0,75.77,79.21,85.76,66.28,Moderate
3,6.26,69.28,57.55,65.63,53.08,High
5,8.2,75.67,73.51,78.7,61.91,Moderate
3,6.49,65.05,48.47,55.73,34.3,High
4,7.08,94.05,84.86,90.0,74.25,Low
2,8.05,85.83,66.09,71.98,51.64,Moderate
1,5.36,97.13,59.46,74.24,49.89,High
7,8.87,72.45,84.41,95.7,71.92,Moderate
7,6.26,76.75,66.63,72.53,50.99,High
1,9.58,94.75,95.52,100.0,81.29,Low
5,7.8,90.94,76.41,83.82,65.5,Low
2,8.45,89.51,77.62,86.73,63.81,Low
8,8.57,85.51,82.13,89.81,70.22,Moderate
3,7.86,64.36,71.43,78.77,65.49,Moderate
8,9.79,87.69,93.98,99.17,79.77,Low
1,9.75,93.33,87.49,96.82,82.28,Low
3,7.65,91.13,82.87,87.18,75.49,Moderate
2,9.6,81.24,87.26,95.04,81.69,Low
5,9.61,84.04,98.0,100.0,87.91,Low
2,6.42,73.18,76.16,87.43,61.23,Moderate
5,6.97,70.11,59.92,71.04,56.26,High
1,7.75,69.3,66.78,72.2,52.68,Moderate
3,6.47,68.63,74.94,90.56,64.57,High
5,7.01,71.36,79.75,85.14,65.18,Moderate
6,9.54,94.04,98.0,100.0,89.99,Low
4,9.17,85.89,91.59,100.0,80.99,Low
2,9.54,77.13,86.45,95.36,75.42,Low
6,7.83,66.33,72.17,86.21,65.9,Moderate
2,7.56,100.0,93.0,99.2,87.09,Low
4,8.64,86.6,89.49,93.21,73.17,Low
6,8.01,96.92,78.6,87.78,72.63,Low
3,7.15,54.8,67.99,72.75,62.74,High
8,4.94,74.64,62.02,76.35,55.58,High
5,6.33,69.53,58.3,72.69,49.36,High
8,6.63,89.57,68.82,69.83,58.02,Moderate
7,7.31,67.99,65.99,76.19,51.6,High
5,6.28,50.0,55.84,56.24,43.21,High
2,9.36,84.78,95.0,100.0,76.72,Low
2,5.36,89.57,64.27,68.2,51.05,High
4,7.24,85.59,75.03,88.52,67.52,Low
5,5.81,85.27,75.16,81.1,67.15,Moderate
4,8.68,83.08,84.14,92.34,73.75,Low
3,5.78,94.08,58.41,69.14,51.13,High
5,9.02,83.68,94.92,100.0,83.99,Low
6,7.94,73.62,82.96,96.06,68.26,Moderate
5,7.01,92.13,67.6,71.44,53.19,Moderate
2,6.69,64.54,66.06,75.73,53.13,High
8,5.95,80.88,74.01,80.53,61.4,Moderate
8,6.74,98.19,71.91,79.49,59.91,Moderate
8,9.53,96.7,98.0,100.0,85.55,Low
5,6.97,71.5,70.56,81.54,61.52,Moderate
5,7.07,67.02,67.16,73.09,59.83,High
1,8.42,86.64,90.87,100.0,82.47,Low
8,4.56,60.9,50.08,66.2,46.46,High
2,8.85,100.0,92.39,100.0,86.97,Low
6,8.03,96.3,79.49,89.12,68.77,Low
4,10.0,100.0,98.0,100.0,82.51,Low
2,8.06,100.0,82.35,92.01,73.24,Low
5,8.62,90.32,95.35,100.0,89.58,Low
1,8.29,80.63,78.77,91.38,72.06,Moderate
8,6.57,70.79,62.88,63.62,51.67,High
5,5.42,79.41,64.97,76.68,56.07,High
4,8.96,92.36,86.12,90.39,77.52,Low
6,7.03,50.0,64.16,68.92,53.38,High
5,6.15,96.66,66.7,74.5,57.32,Moderate
4,9.3,80.6,95.55,100.0,86.78,Low
4,9.76,96.08,98.0,100.0,87.04,Low
8,9.46,98.92,95.02,100.0,85.14,Low
5,8.98,58.29,75.04,76.78,66.89,Moderate
7,5.93,54.29,54.68,59.61,41.27,High
4,8.09,80.84,79.24,92.94,70.94,Low
1,7.85,100.0,80.6,88.61,72.9,Low
6,5.36,76.23,61.48,74.71,55.45,High
1,8.25,81.97,86.7,92.58,73.4,Low
2,7.81,85.69,86.82,92.41,77.2,Low
2,7.25,89.51,75.04,77.06,64.08,Moderate
4,8.02,87.39,86.84,93.65,79.65,Low
2,10.0,74.62,94.6,100.0,76.91,Low
2,8.61,82.08,77.58,80.35,73.49,Moderate
8,7.71,69.16,80.82,89.24,72.54,Moderate
2,4.86,71.1,65.17,66.22,50.23,High
6,7.34,95.33,75.57,77.96,56.45,Moderate
7,7.81,100.0,90.28,99.18,84.32,Low
4,7.43,83.02,67.66,81.78,48.57,Moderate
7,8.37,100.0,78.72,87.22,70.42,Low
7,6.05,81.76,76.94,84.18,61.11,Moderate
8,6.61,57.46,67.97,72.68,52.77,High
2,7.91,85.89,70.44,74.54,59.65,Moderate
2,4.3,55.83,46.42,47.07,40.27,High
6,7.52,83.34,80.19,80.6,66.48,Moderate
6,7.4,86.82,64.76,72.76,52.02,Moderate
7,6.38,92.96,66.5,70.05,52.09,Moderate
4,7.32,97.75,67.84,75.6,55.4,Moderate
6,7.54,89.27,70.07,79.51,57.77,Moderate
3,7.25,79.16,76.25,88.38,64.39,Moderate
1,7.9,80.44,80.35,87.59,68.12,Moderate
4,6.8,84.61,74.83,82.93,64.26,Moderate
5,6.95,76.67,70.7,82.24,68.3,Moderate
8,8.78,86.6,90.99,96.23,80.03,Low
7,6.31,67.01,67.94,76.23,53.59,High
4,5.91,57.87,63.0,70.81,59.51,High
1,7.35,88.12,94.11,98.13,83.55,Low
3,8.72,79.25,75.7,83.0,66.17,Low
1,5.9,84.56,58.02,74.24,48.25,High
6,5.25,69.95,60.49,63.3,47.08,High
2,9.16,82.01,98.0,100.0,87.12,Low
8,8.37,90.24,75.8,81.48,67.32,Low
4,8.18,69.79,83.6,85.42,70.23,Moderate
7,6.08,72.27,58.76,66.4,41.37,High
8,8.94,74.42,84.88,90.05,79.08,Low
4,9.0,59.82,91.43,94.38,84.62,Low
8,9.31,58.22,89.73,100.0,80.32,Moderate
1,8.66,91.1,83.45,99.82,73.81,Low
5,8.57,77.22,90.96,96.79,82.4,Low
4,9.71,100.0,69.87,76.99,65.47,Low
1,8.9,87.1,90.18,96.98,86.37,Low
4,7.86,96.22,75.79,85.1,62.85,Low
6,7.38,50.0,63.03,66.49,54.11,High
4,8.23,63.73,76.45,86.61,74.36,Moderate
1,6.51,81.07,70.01,81.9,55.91,Moderate
4,8.65,73.87,88.67,92.99,76.34,Low
7,8.21,100.0,79.73,83.1,68.66,Low
4,8.04,100.0,72.54,75.79,64.95,Low
5,5.74,83.38,75.44,82.12,69.63,Moderate
7,10.0,100.0,98.0,100.0,84.95,Low
3,8.16,71.78,80.7,84.29,73.63,Low
5,9.61,94.75,98.0,99.13,88.34,Low
2,6.5,80.18,78.18,83.31,65.67,Moderate
3,8.03,99.32,90.4,100.0,89.69,Low
4,8.41,76.81,63.53,76.18,59.62,Moderate
8,5.66,68.07,52.31,61.14,41.67,High
4,8.34,75.64,83.81,93.07,66.16,Moderate
4,6.34,82.92,70.61,75.63,62.39,Moderate
2,6.31,85.71,72.25,78.7,64.62,Moderate
5,8.48,76.74,90.02,93.51,83.82,Low
2,8.12,88.87,79.66,86.39,69.44,Low
1,6.84,100.0,73.58,73.77,67.02,Moderate
2,7.39,80.84,63.12,70.69,52.66,Moderate
7,7.72,68.91,75.51,83.4,65.15,Moderate
3,7.37,62.12,63.8,80.46,58.77,High
3,7.2,82.49,75.5,79.81,59.56,Moderate
3,10.0,80.81,93.09,100.0,87.8,Low
6,7.0,77.04,61.52,73.85,54.42,High
5,5.73,82.95,71.4,73.46,54.06,Moderate
1,5.59,93.09,59.02,64.59,55.52,Moderate
2,9.39,94.29,89.22,97.4,81.36,Low
1,6.59,72.95,62.39,74.89,47.17,High
7,7.65,100.0,67.39,78.45,57.82,Low
2,4.77,67.24,60.09,67.13,46.94,High
6,6.98,86.25,59.17,73.26,50.99,Moderate
5,7.65,84.81,65.63,72.48,61.08,Moderate
3,7.77,80.06,78.83,86.14,73.09,Low
8,4.91,78.13,55.04,64.79,41.63,High
7,9.34,58.33,91.03,100.0,78.96,Low
2,9.53,94.15,98.0,100.0,93.65,Low
5,7.61,94.92,78.8,83.45,70.4,Low
7,9.46,92.93,78.71,84.66,68.44,Low
7,7.95,83.72,78.6,88.39,72.08,Moderate
3,5.89,68.93,60.31,65.04,60.09,High
6,8.32,99.85,86.02,91.85,77.43,Low
6,6.04,77.14,59.66,69.88,57.4,High
4,8.11,84.05,92.76,98.7,84.36,Low
6,8.29,82.59,86.34,96.6,79.38,Low
2,7.0,73.12,67.32,75.76,59.02,Moderate
8,8.62,85.06,88.2,98.61,78.68,Low
7,7.23,100.0,79.46,92.28,77.84,Low
4,8.29,100.0,79.98,83.76,70.43,Low
4,6.55,76.39,67.31,73.62,56.72,High
2,6.02,75.6,59.51,70.92,50.51,High
5,8.06,69.41,82.34,89.76,72.78,Moderate
8,5.2,78.24,61.99,62.29,54.18,High
4,5.64,50.0,50.29,56.87,39.83,High
1,7.57,81.81,76.57,82.9,66.96,Moderate
5,8.43,79.44,76.67,78.65,67.69,Moderate
7,5.55,71.1,57.89,65.1,45.13,High
7,7.7,86.33,69.75,80.37,59.47,Moderate
6,8.18,73.97,81.7,92.58,65.89,Moderate
3,7.17,73.06,78.75,80.93,70.08,Moderate
2,9.66,68.53,94.24,100.0,83.2,Low
8,7.6,74.21,73.38,79.13,64.45,Moderate
2,7.16,86.24,68.33,73.8,56.1,Moderate
4,7.96,87.46,95.43,100.0,78.8,Low
3,7.37,79.29,85.11,96.26,74.53,Moderate
